0,0,0,0,0,0,true
0,13,0,0,0,0,true
0,13,0,0,0,0,true
0,13,12,0,0,0,true
0,14,12,2,4,0,false
0,13,12,2,4,0,false
0,13,12,2,4,0,false
0,13,12,2,4,0,false
0,14,10,2,4,0,false
0,12,10,2,4,0,false
0,12,10,2,4,0,false
0,12,12,2,4,0,false
0,13,9,1,4,0,false
0,12,9,1,4,0,false
0,12,9,1,4,0,false
0,12,12,1,4,0,false
0,12,12,2,4,0,false
0,13,12,2,4,0,false
0,13,12,2,4,0,false
0,13,12,2,4,0,false
0,15,13,0,3,0,false
0,18,13,0,3,0,false
0,18,13,0,3,0,false
0,18,12,0,3,0,false
0,15,11,1,5,0,false
0,13,11,1,5,0,false
0,13,11,1,5,0,false
0,13,12,1,5,0,false
0,11,11,2,4,0,false
0,13,11,2,4,0,false
0,13,11,2,4,0,false
0,13,12,2,4,0,false
0,12,12,2,5,0,false
0,15,12,2,5,0,false
0,15,12,2,5,0,false
0,15,12,2,5,0,false
0,5,11,1,3,0,false
0,8,11,1,3,0,false
0,8,11,1,3,0,false
0,8,12,1,3,0,false
0,10,10,2,5,0,false
0,13,10,2,5,0,false
0,13,10,2,5,0,false
0,13,12,2,5,0,false
0,15,10,2,3,0,false
0,13,10,2,3,0,false
0,13,10,2,3,0,false
0,13,12,2,3,0,false
0,13,11,2,5,0,false
0,16,11,2,5,0,false
0,16,11,2,5,0,false
0,16,12,2,5,0,false
0,13,10,2,4,0,false
0,16,10,2,4,0,false
0,16,10,2,4,0,false
0,16,12,2,4,0,false
0,12,11,2,4,0,false
0,15,11,2,4,0,false
0,15,11,2,4,0,false
0,15,12,2,4,0,false
0,11,11,2,4,0,false
0,14,11,2,4,0,false
0,14,11,2,4,0,false
0,14,12,2,4,0,false
0,20,11,1,4,0,false
0,13,11,1,4,0,false
0,13,11,1,4,0,false
0,13,12,1,4,0,false
0,11,9,2,5,0,false
0,14,9,2,5,0,false
0,14,9,2,5,0,false
0,14,12,2,5,0,false
0,16,10,0,3,0,false
0,13,10,0,3,0,false
0,13,10,0,3,0,false
0,13,12,0,3,0,false
0,11,10,2,5,0,false
